hotel_reference_id,hotel_country,hotel_city,hotel_state_province,hotel_category,hotel_class
-49647042755670414,THAILAND,RATCHABURI,RATCHABURI,Hotel,3.0
-3874482520609868710,PHILIPPINES,CEBU,,Hotel,3.0
5356424804149754695,THAILAND,HAT YAI,SONGKHLA,Hotel,2.0
-7028229854089834094,THAILAND,HAT YAI,,Hotel,4.0
-575610437710602912,PHILIPPINES,PASAY,,,
-7475756177956866169,THAILAND,KRABI,KRABI,Hotel,4.0
8220438865267438560,THAILAND,PATTAYA,CHON BURI,Hotel,4.0
7660231180812678504,THAILAND,BANGKOK,BANGKOK,Hotel,3.0
3896695793116497241,THAILAND,BANGKOK,BANGKOK,Hotel,4.0
4079757451107018654,THAILAND,PATTAYA,CHON BURI,Hotel,3.0
-356734906974110544,THAILAND,BANGKOK,,Hotel,4.0
4617360008874871659,THAILAND,KRABI,,Hotel,4.0
-823050307866275643,PHILIPPINES,QUEZON CITY,MANILA,,
3035085173656874939,THAILAND,HUA HIN,,Hotel,5.0
-5630663914255536945,THAILAND,BANGKOK,BANGKOK,Hotel,3.0
4797928065807836647,THAILAND,CHIANG RAI,,Hotel,3.5
7060613352451387084,THAILAND,BANGKOK,,,
-273049820640349437,THAILAND,KRABI,,Hotel,2.0
-4163612993069485140,THAILAND,BANG KRUAI,NONTHABURI,Hotel,5.0
-8310668047552658039,THAILAND,PATHUM THANI,PATHUM THANI,Hotel,3.0
-7605334130112767947,PHILIPPINES,EL NIDO,PALAWAN,Hotel,2.0
7710092954865113558,THAILAND,HAT YAI,,Hotel,2.5
-2234765291370122128,THAILAND,KOH LIPE,SATUN,,
-7207772296928556213,THAILAND,KO SAMET,RAYONG,Hotel,2.5
6110334760766051580,PHILIPPINES,TACLOBAN,EASTERN VISAYAS,Hotel,3.0
-4407857788046980458,PHILIPPINES,MANILA,,Hotel,3.0
6997391318095126166,THAILAND,BANGKOK,,Hotel,3.5
-4972842165202524080,THAILAND,PHUKET,PHUKET,Hotel,4.0
4217672852480154012,THAILAND,PATTAYA,CHON BURI,Hotel,3.0
8700024400185157398,THAILAND,PHUKET,PHUKET,Hotel,4.0
-5304524923327234527,PHILIPPINES,BAGUIO,,,
5633116523468210787,THAILAND,CHIANG MAI,CHIANG MAI,,
